id,name,nref,raj,rajerr,raref,decj,decjerr,dref,pmra_radio,pmraerr,prref,pmdec_radio,pmdecerr,pdref,px,pxerr,pxref,posepoch,poseref,p0,p0err,p0ref,p1,p1err,p1ref,dm,dmerr,dmref,dist,pb,pberr,pbref,survey,surveyref,BinComp,BinCompref,Type,TypeRef,Assoc,raj_now,decj_now
48,B0052+51,dtws85,13.939158749999997,0.0001,dgb+19,51.290166944444444,0.0001,dgb+19,10.47,0.07,dgb+19,-17.4,0.1,dgb+19,0.35,0.06,dgb+19,56000.0,dgb+19,2.115171148865,4e-12,hlk+04,9.53764e-15,4e-20,hlk+04,44.0127,0.0024,bkk+16,2.857,,0.0,,"gb2,lotaas",,,,,,,13.9391232726672,51.290225903827626
49,B0053+47,dtws85,14.106291666666666,0.019,hlk+04,47.936249999999994,0.019,hlk+04,0.0,0.0,,0.0,0.0,,,0.0,,49872.0,hlk+04,0.472036662076,7e-12,hlk+04,3.32849e-15,7e-20,hlk+04,18.1354,0.0013,bkk+16,1.123,,0.0,,"gb2,lotaas",,,,,,,14.106291666666666,47.936249999999994
50,J0057-7201,ckm+01,14.433333333333332,0.4,ckm+01,-72.02194444444444,0.4,ckm+01,0.0,0.0,,0.0,0.0,,,0.0,,51213.0,,0.7380624426,2e-10,ckm+01,1e-16,8e-17,ckm+01,27.0,5.0,ckm+01,3.476,,0.0,,misc,,,,,,,14.433333333333334,-72.02194444444444
51,J0058+4950,slr+14,14.541583333333332,0.027,lsk+18,49.84055555555556,0.027,lsk+18,0.0,0.0,,0.0,0.0,,,0.0,,56500.0,,0.99602345227,4e-11,lsk+18,8.04e-16,2e-17,lsk+18,66.953,0.007,lsk+18,2.646,,0.0,,gbncc,,,,,,,14.541583333333332,49.84055555555556
52,J0059+69,scb+19,14.874999999999996,36.0,scb+19,69.91666666666667,36.0,scb+19,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,1.1459,0.0,scb+19,,0.0,,63.53,0.05,scb+19,2.048,,0.0,,"lotaas,gbncc",,,,,,,14.874999999999995,69.91666666666667
53,J0100-7211,lfmp02,15.179291666666664,0.11,mgr+05,-72.19266666666667,0.11,mgr+05,0.0,0.0,,0.0,0.0,,,0.0,,53032.0,,8.020392,9e-06,mgr+05,1.88e-11,8e-13,mgr+05,,0.0,,59.7,,0.0,,misc,,,"AXP,NRAD","EXGAL:SMC,XRS:CXOU_J010043.1-721134",,,15.179291666666664,-72.19266666666667
54,J0100+8023,scb+19,15.067041666666665,0.01,tbc+20,80.39493055555556,0.01,tbc+20,0.0,0.0,,0.0,0.0,,,0.0,,56676.0,,1.4936009186,2e-10,tbc+20,3.543e-16,6e-19,tbc+20,56.0062,0.0008,tbc+20,2.848,,0.0,,lotaas,,,,,,,15.067041666666661,80.39493055555556
55,J0101-6422,kcj+12,15.296317916666665,0.0002,kcj+12,-64.3750475,0.0002,kcj+12,10.0,1.0,kcj+12,-12.0,2.0,kcj+12,,0.0,,55520.0,,0.0025731519721683,2e-16,kcj+12,5.16e-21,3e-23,kcj+12,11.926,0.001,kcj+12,1.002,1.787596706,2e-09,kcj+12,FermiAssoc,He[kcj+12],,HE,"GRS:4FGL_J0101.1-6422[fermi21],XRS:[pb15]",,,15.296287682468233,-64.37501121891087
56,J0102+4839,hrm+11,15.711116666666667,0.003,fermi21,48.661877777777775,0.003,fermi21,0.0,0.0,,0.0,0.0,,,0.0,,55196.0,,0.00296,0.0,hrm+11,,0.0,,53.5,0.0,hrm+11,2.31,1.67,0.0,hrm+11,FermiAssoc,He[hrm+11],,HE,GRS:4FGL_J0102.8+4839[fermi21],,,15.711116666666669,48.66187777777777
57,B0059+65,dbtb82,15.637464166666668,0.0001,dgb+19,65.62039333333333,0.0001,dgb+19,9.24,0.07,dgb+19,1.77,0.15,dgb+19,0.4,0.04,dgb+19,56000.0,dgb+19,1.679164229064,1.2e-11,hlk+04,5.95492e-15,9e-20,hlk+04,65.853,0.016,hlk+04,2.5,,0.0,,"gb1,gb3,gbncc,lotaas",,,,,,,15.637432857205498,65.62038733573714
