#Table: J/MNRAS/353/1311/table6.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------
           |f|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |_|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |P|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |S|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |R|         |           |        |           |         |      |  e_p|       |    e_|      |    e|       |      |    |       |    |
PSRJ       |J|PSRB     |       ELON|  e_ELON|       ELAT|   e_ELAT|pmELON|mELON| pmELAT|pmELAT|  pmRA|_pmRA|   pmDE|e_pmDE|NTOA|  Epoch|Span| tRMS
-----------|-|---------|-----------|--------|-----------|---------|------|-----|-------|------|------|-----|-------|------|----|-------|----|-----
J0953+0755 | |B0950+08 |147.7071005|.0000018| -4.62100  |0.0000300| -12.1|   .6|   24. |   8. |  -3. |  3. |   26. |   7. |4850|46375.0|34.3|  168
J1012+5307 | |         |133.3610377|.0000005|+38.7553818|0.0000007|  13.8|   .6|  -21.9|   0.9|   2.3|  0.7|  -25.8|   0.8| 491|50914.0| 9.3|   18
J1012-2337 | |B1010-23 |164.91805  |.0001300|-32.17655  |0.0001700|      |     |       |      |      |     |       |      | 110|49874.0|15.0| 2750
J1018-1642 | |B1016-16 |163.18219  |.0000800|-25.25853  |0.0001400|-134. | 95. |   52. | 150. |-102. |100. |  101. | 146. | 152|49688.0|16.3| 1443
J1022+1001 | |         |153.8659109|.0000004| -0.0638   |0.0003000| -16.3|   .6| -900. | 500. |-361. |167. | -900. | 500. | 531|51246.0| 7.7|   16
J1024-0719 | |         |160.7344081|.0000016|-16.044501 |0.0000050| -14. |  3. |  -57. |   9. | -35. |  4. |  -48. |   8. | 298|51018.0| 8.8|   52
J1034-3224 | |         |174.93324  |.0001000|-37.90447  |0.0000900|      |     |       |      |      |     |       |      | 156|50705.0|10.6| 1237
J1041-1942 | |B1039-19 |170.047603 |.0000180|-25.78230  |0.0000400|   3. | 12. |   31. |  24. |  16. | 15. |   27. |  23. | 376|48738.0|21.5|  717
J1047-3032 | |         |176.82971  |.0000500|-34.99166  |0.0000700|  63. | 62. |  -16. |  79. |  48. | 66. |  -44. |  75. | 161|51019.0| 8.8|  966
J1115+5030 | |B1112+50 |146.113875 |.0000160|+41.248185 |0.0000170|  36. | 11. |  -30. |  15. |  15. | 13. |  -45. |  13. | 426|49334.0|17.9|  832
J1136+1551 | |B1133+16 |168.152548 |.0000040|+12.163007 |0.0000160|-213.5|  1.1|  312. |   6. | -69. |  3. |  372. |   5. |4963|46407.0|34.2|  465
J1141-3107 | |         |189.4545   |.0003000|-30.1258   |0.0004000|      |     |       |      |      |     |       |      | 116|50845.0| 9.7| 1452
J1141-3322 |g|         |190.731908 |.0000150|-32.088359 |0.0000190| -29. | 22. |   21. |  35. | -15. | 25. |   32. |  32. | 259|51019.0| 8.8|  429
J1238+21   | |         |179.6102   |.0003000|+23.7847   |0.0004000|      |     |       |      |      |     |       |      |  51|51438.0| 6.9| 1626
J1239+2453 | |B1237+25 |178.454245 |.0000040|+26.640991 |0.0000080|-116.9|  1.1|   -1.5|   2.3|-105.8|  1.4|   50. |   3. | 920|46531.0|33.3|  375
J1257-1027 | |B1254-10 |197.174378 |.0000130| -4.01483  |0.0001600|  -3. | 14. |   43. | 183. |  14. | 75. |   41. | 168. | 346|49667.0|16.2|  431
J1300+1240 | |B1257+12 |188.719996 |.0000040|+17.574990 |0.0000080|  76. |  3. |  -53. |   6. |  48. |  4. |  -79. |   5. | 310|48700.0|11.3|   53
J1311-1228 | |B1309-12 |201.306844 |.0000110| -4.48749  |0.0001200|  -2. | 12. |   17. | 127. |   5. | 51. |   17. | 117. | 330|49667.0|16.2|  352
J1321+8323 | |B1322+83 |106.74504  |.0000800|+68.02899  |0.0000400| -11. | 22. |  -38. |  29. | -37. | 29. |   14. |  22. | 245|48889.0|20.6| 1368
J1332-3032 | |         |212.98092  |.0001600|-19.3365   |0.0005000|      |     |       |      |      |     |       |      |  99|50625.8| 8.7| 3140
J1455-3330 | |         |231.347506 |.0000030|-16.044799 |0.0000080|   7. |  4. |    7. |  10. |   9. |  5. |    5. |   9. | 269|50597.9| 9.2|   67
J1509+5531 |g|B1508+55 |188.02957  |.0000300|+67.216840 |0.0000130| -16. | 11. | -106. |  12. | -86. | 12. |  -65. |  11. |3518|49904.0|15.0| 1658
J1518+4904 | |         |200.2744334|.0000019|+63.0717875|0.0000008|   3.4|  1.6|   -7.8|   1.3|  -1.6|  1.5|   -8.3|   1.5| 251|51203.0| 7.7|   17
J1532+2745 |g|B1530+27 |221.06080  |.0000400|+45.12546  |0.0000400|   8. | 23. |   -4. |  31. |   6. | 24. |   -7. |  30. | 339|49666.0|16.1| 1082
J1537+1155 | |B1534+12 |228.552775 |.0000030|+30.378249 |0.0000050|  12. |  4. |  -36. |   6. |   1.6|  3.4|  -37. |   6. | 373|50515.0|11.5|  115
J1543+0929 | |B1541+09 |231.04994  |.0000600|+28.43490  |0.0001100|  37. | 36. | -107. |  77. |   9. | 39. | -113. |  76. | 339|48716.0|21.4| 2098
J1543-0620 | |B1540-06 |235.086226 |.0000060|+13.05352  |0.0000300| -14. |  5. |  -18. |  19. | -18. |  6. |  -14. |  19. | 432|49423.0|17.4|  246
J1555-2341 | |B1552-23 |241.709398 |.0000160| -3.2506   |0.0003000|  -8. | 17. |  400. | 400. |  66. | 67. |  400. | 400. | 288|49899.0|15.1|  810
J1555-3134 | |B1552-31 |243.304242 |.0000080|-10.97681  |0.0000400|  -9. |  8. |   -2. |  41. | -10. | 12. |    0. |  40. | 235|49874.0|15.0|  386
J1603-2531 |g|         |243.760253 |.0000030| -4.71402  |0.0000500| -13. |  4. |  123. |  61. |  11. | 13. |  123. |  60. | 131|50719.0|10.6|   99
J1603-2712 | |B1600-27 |244.104110 |.0000140| -6.37366  |0.0001500| -18. | 14. |   93. | 160. |   0. | 40. |   94. | 157. | 154|49911.0|15.1|  448
J1607-0032 | |B1604-00 |239.813887 |.0000040|+19.988163 |0.0000090| -20.1|  1.0|  -35. |   3. | -26.6|  1.1|  -30. |   3. | 622|46973.0|30.9|  257
J1610-1322 | |B1607-13 |243.22675  |.0000800| +7.5631   |0.0007000|  60. | 76. | -600. | 800. | -44. |150. | -600. | 800. | 152|49691.0|16.3| 3003
J1614+0737 | |B1612+07 |240.02660  |.0000400|+28.36601  |0.0000700| -19. | 31. |   34. |  83. | -12. | 32. |   37. |  83. | 159|49897.0|15.1|  679
J1615-2940 | |B1612-29 |247.33805  |.0001700| -8.2567   |0.0014000|      |     |       |      |      |     |       |      |  89|48390.0|19.6| 2873
J1623-0908 | |B1620-09 |245.557366 |.0000140|+12.26437  |0.0000700| -17. | 10. |    6. |  48. | -16. | 12. |    9. |  48. | 327|48715.0|21.4|  579
J1623-2631 | |B1620-26 |248.4987652|.0000012| -4.872736 |0.0000150|      |     |       |      |      |     |       |      | 634|49874.0|15.3|  111
J1635+2418 | |B1633+24 |241.91751  |.0000800|+45.71252  |0.0000700| -13. | 46. |  -41. |  64. | -21. | 47. |  -37. |  63. | 160|48736.0|21.5| 1129
J1643-1224 | |         |251.0871991|.0000008| +9.778316 |0.0000050|   4.9|   .9|    3. |   7. |   5.2|  1.3|    2. |   7. | 490|50836.0| 9.7|   38
J1645-0317 | |B1642-03 |250.186200 |.0000030|+18.859871 |0.0000080|      |     |       |      |      |     |       |      | 704|46515.0|33.3|  239
J1648-3256 | |         |254.73139  |.0000400|-10.4534   |0.0003000| -13. | 47. |   -0. | 500. | -17. | 71. |   -0. | 500. | 105|50853.0| 9.7|  534
J1650-1654 | |         |253.30771  |.0001100| +5.5263   |0.0016000|      |     |       |      |      |     |       |      | 125|50862.0| 9.8| 2571
J1651-1709 | |B1648-17 |253.59336  |.0000600| +5.3135   |0.0007000|  13. | 54. | -200. | 800. | -10. |106. | -200. | 800. | 127|50027.0|14.5|  911
J1652-2404 | |B1649-23 |254.73203  |.0000400| -1.5086   |0.0018000| -17. | 34. | -900. |1500. |-120. |176. | -900. |1500. | 309|48742.0|21.5| 1308
J1654-2713 | |         |255.40903  |.0001000| -4.6048   |0.0014000|      |     |       |      |      |     |       |      | 122|51002.0| 8.9| 1906
J1659-1305 | |B1657-13 |255.15856  |.0000700| +9.5825   |0.0005000| -35. | 75. | -300. | 700. | -71. |102. | -300. | 700. | 108|49725.0|16.1| 1189
J1700-3312 | |         |257.46722  |.0000500|-10.4144   |0.0004000| -11. | 70. |  100. | 600. |   0. |100. |  100. | 600. | 195|50856.0| 9.7| 1277
J1703-1846 | |B1700-18 |256.690160 |.0000130| +4.0220   |0.0003000|  -7. | 14. |  100. | 300. |   3. | 28. |  100. | 300. | 156|49905.0|15.0|  406
