#Table: J/MNRAS/352/1439/table1.dat (cdsarc.u-strasbg.fr)
-------------------------------------------------------------------------------------------------------
          |f|              |      |             |      |            |  |    |     |     |    |     |
          |_|              |      |             |      |            |  |    |     |     |    |     |
          |P|              |      |             |      |            |  |    |     |     |    |     |
          |S|              |      |             |      |            |  |    |     |     |    |     |
          |R| R  R         |      |  D  D       |      |            |Be|   b|     |     |  e_|     |
PSRJ      |J|Ah Am      RAs| e_RAs| Ed Em    DEs| e_DEs|  GLON  GLAT|am|Dist|  S/N| S1.4|S1.4|  W50|W10
----------|-|--------------|------|-------------|------|------------|--|----|-----|-----|----|-----|---
1841-0524 | |18 41 49.32   |.05000|-05 24 29.5  | 1.200| 27.02 -0.33| 3|0.59| 13.1|0.20 |.030| 13.0|  -
1842-0309 | |18 42 19.02   |.05000|-03 09 46.   | 3.000| 29.08  0.58| 9|0.64| 11.5|0.25 |.040| 43.0|  -
1842-0612 | |18 42 43.05   |.10000|-06 12 36.   | 5.000| 26.41 -0.90|12|0.61| 21.7|0.54 |.060| 53.0|  -
1843-0000 |J|18 43 27.962  |.00900|-00 00 40.9  |  .600| 32.01  1.77|10|0.62|250.4|2.9  |.300| 26.0| 40
1843-0137 | |18 43 12.63   |.03000|-01 37 46.3  | 1.200| 30.54  1.09| 4|1.04| 13.5|0.26 |.040| 17.0|  -
1843-0211 | |18 43 30.328  |.02000|-02 11 02.8  |  .700| 30.08  0.77|10|0.65| 69.8|0.93 |.100| 24.0|105
1843-0408 | |18 43 43.44   |.07000|-04 08 04.   | 3.000| 28.37 -0.17| 9|0.60| 17.1|0.17 |.030| 12.0|  -
1843-0702 | |18 43 22.441  |.01000|-07 02 54.6  |  .700| 25.74 -1.43| 3|0.40| 20.1|0.17 |.030|  4.7|  -
1843-0806 | |18 43 28.715  |.01100|-08 06 44.9  |  .700| 24.81 -1.93|12|0.97| 13.5|0.36 |.050| 21.0|  -
1843-1113 | |18 43 41.26225|.00020|-11 13 31.052|  .016| 22.05 -3.40| 7|0.18| 17.6|0.10 |.020|  0.2|  -
1844-0030 |A|18 44 41.099  |.01900|-00 30 25.8  | 1.300| 31.71  1.27| 5|0.61| 33.5|0.42 |.050| 16.0|  -
1844-0452 | |18 44 01.54   |.04000|-04 52 20.9  | 1.900| 27.75 -0.58| 9|0.84|  8.7|0.19 |.030| 16.0|  -
1844-0502 | |18 44 33.96   |.07000|-05 02 00.5  | 2.300| 27.67 -0.77| 5|1.06| 10.2|0.40 |.050| 24.0|  -
1845-0545 | |18 45 38.49   |.04000|-05 45 18.2  | 1.000| 27.15 -1.34|10|0.97| 20.9|0.47 |.060| 18.0| 32
1846+0051 |A|18 46 43.821  |.02000|+00 51 39.0  |  .700| 33.16  1.44|11|1.02| 16.9|0.34 |.090| 28.2| 60
1847-0130 | |18 47 35.21   |.09000|-01 30 46.   | 3.000| 31.15  0.17| 3|0.41| 15.6|0.33 |.040|205.0|  -
1847-0443 | |18 47 51.85   |.03000|-04 43 36.2  |  .800| 28.32 -1.36| 7|0.62| 11.1|0.16 |.030|  9.0|  -
1848-0023 |A|18 48 37.89   |.09000|-00 23 17.   | 4.000| 32.27  0.45| 7|1.23| 13.1|0.6  |.300| 17.7| 38
1848-0055 | |18 48 45.50   |.19000|-00 55 53.   | 4.000| 31.80  0.17| 6|0.65|  9.5|0.19 |.030| 27.9|  -
1848-0511 | |18 48 15.01   |.14000|-05 11 38.   | 5.000| 27.95 -1.66| 8|0.25| 21.4|0.40 |.050| 99.0|  -
1849-0040 |A|18 49 10.25   |.08000|-00 40 20.   | 6.000| 32.08  0.20|11|0.34| 10.9|0.20 |.030| 64.6|  -
1849-0614 | |18 49 45.157  |.01900|-06 14 31.5  |  .800| 27.18 -2.47| 3|1.18| 36.8|0.59 |.070| 14.0| 32
1850-0031 | |18 50 33.39   |.09000|-00 31 09.   | 4.000| 32.37 -0.04|11|0.93|  9.3|0.23 |.030| 32.0|  -
1851+0118 | |18 51 52.18   |.13000|+01 18 59.   | 5.000| 34.15  0.50| 1|0.95| 10.9|0.10 |.020| 24.0|  -
1851-0053 |A|18 51 03.17   |.08000|-00 53 07.3  | 1.900| 32.10 -0.32| 5|1.24| 35.9|1.00 |.110| 19.0|  -
1851-0241 | |18 51 15.26   |.10000|-02 41 31.   | 3.000| 30.51 -1.19| 4|0.56| 10.9|0.20 |.030| 35.0|  -
1852+0008 |A|18 52 42.78   |.03000|+00 08 09.6  |  .800| 33.20 -0.22| 5|0.58| 15.8|0.31 |.040| 16.0|  -
1852+0013 |A|18 52 41.779  |.02000|+00 13 57.1  | 1.200| 33.28 -0.17| 5|0.22| 14.8|0.30 |.040| 19.0|  -
