          |           |   N|     |    E| R  R           |        |  D  D          |       |       |    e|       |      |                  |        |         |       |    | e_|        |     |        |      |         |       |                |           |           |      |           |         |        |      e|          |     |         |        |          |   E|      |               |       |           |             |      |      |      d|    e_d|          |       e|        |e_dP/|      d|e_dP/|g|     |_|    |   M
PSR       | MJD1  MJD2|TOAs|  rms|pochR|Ah Am        RAs|   e_RAs| Ed Em       DEs|  e_DEs|   pmRA|_pmRA|   pmDE|e_pmDE|               Per|   e_Per|    dP/dt|e_dP/dt| plx|plx|      DM| e_DM|     DM1| e_DM1|      DM2|  e_DM2|              Pb|       e_Pb|         T0|  e_T0|          x|      e_x|  Omega0|_Omega0|         e|  e_e|    kappa| e_kappa|       eta|_eta| e_eta|            Tan|  e_Tan| GLON  GLAT|   d   E_  e_|   CPM| e_CPM|P/dtSHK|P/dtSHK|   dP/dtKZ|_dP/dtKZ|dP/dtDGR|dtDGR|P/dtInt|dtInt|e|  Age|B|   B|2min
----------|-----------|----|-----|-----|----------------|--------|----------------|-------|-------|-----|-------|------|------------------|--------|---------|-------|----|---|--------|-----|--------|------|---------|-------|----------------|-----------|-----------|------|-----------|---------|--------|-------|----------|-----|---------|--------|----------|----|------|---------------|-------|-----------|-------------|------|------|-------|-------|----------|--------|--------|-----|-------|-----|-|-----|-|----|----
J1853+1303|53763-56829| 101| 1.6 |55000|18 53 57.318765 |.000012 |+13 03 44.0693  |.0004  | -1.61 | .09 | -2.79 |  .17 | 4.0917974456530  |1000E-15| 0.8724  |.0014  |--- |   | 30.576 |.020 | 0.002  |.004  |-0.0005  |.0008  |115.65378824    |   3000E-12|52890.256  |.018  |40.7695169 |.0000014 |346.65  |  .06  |2.368E-5  |3E-5 |---      |        |---       |    |      |---            |       | 44.9   5.4|---          | 3.22 |  .15 |0.0091 |       |-0.0016   |        |-0.0028 |     | 0.868 |     | | 7.5 | | 1.9|0.22
J1857+0943|50458-56781| 444| 1.7 |55000|18 57 36.390605 |.000004 |+09 43 17.20714 |.00010 | -2.649| .017| -5.41 |  .03 | 5.36210054870034 |  90E-15| 1.78447 |.00017 |0.70|.26| 13.303 |.004 | 0.0017 |.0002 |-0.00018 |.00008 | 12.3271713831  |    300E-12|46432.781  |.003  | 9.2307819 |.0000009 |276.47  |  .07  |2.170E-5  |4E-5 |---      |        |---       |    |      |---            |       | 42.3   3.1|1098+ 439-254| 6.03 |  .03 |0.05   | .02   |-0.0010   |.0003   |-0.0002 |.0030| 1.73  | .02 | | 4.9 | | 3.1|0.22
J1909-3744|53368-56794| 425| 0.13|55000|19 09 47.4335737|.0000007|-37 44 14.51561 |.00003 | -9.519| .003|-35.775|  .010| 2.947108069766629|   7E-15| 1.402518|.000014|0.87|.02| 10.3925|.0004|-0.00032|.00003| 0.00004 |.00001 |  1.533449474329|     13E-12|53114.72   |.04   | 1.89799099|.00000006|180.    | 9.    |1.22E-7   |11E-7|-2.3E-10 |1900E-10|-1.22E-7  |    | 11E-7|---            |       |359.7 -19.6|1146+  30- 28|37.020|  .010|1.12   | .03   |-0.0242   |.0006   | 0.031  |.003 | 0.27  | .03 | |17.4 | | 0.9|0.18
J1910+1256|53725-56828| 112| 1.9 |55000|19 10 09.701439 |.000012 |+12 56 25.4869  |.0004  |  0.28 | .09 | -7.37 |  .15 | 4.983584018674   |3000E-15| 0.9675  |.0017  |1.44|.74| 38.094 |.011 |-0.003  |.006  | 0.0000  |.0008  | 58.466742964   |  14000E-12|54079.3152 |.0014 |21.1291036 |.0000007 |105.998 |  .009 |2.3023E-4 |4E-4 |---      |        |---       |    |      |---            |       | 46.6   1.8| 554+ 461-186| 7.37 |  .15 |0.04   | .03   |-0.0002   |.0001   |-0.003  |.003 | 0.93  | .03 | | 8.5 | | 2.2|0.18
J1911+1347|54095-56827| 140| 1.4 |55000|19 11 55.204679 |.000005 |+13 47 34.38398 |.00015 | -2.90 | .04 | -3.74 |  .06 | 4.6259625397749  |   6E-13| 1.6927  |.0009  |--- |   | 30.987 |.006 | 0.000  |.002  |-0.0002  |.0005  |  ---           |           |---        |      | ---       |         |---     |       |---       |     |---      |        |---       |    |      |---            |       | 47.5   1.8|---          | 4.73 |  .06 |0.052  |       |-0.00041  |        |-0.031  |     | 1.67  |     | | 4.4 | | 2.8|---
J1911-1114|53815-57027| 143| 4.8 |55000|19 11 49.28233  |.00003  |-11 14 22.481   |.003   |-13.75 | .16 | -9.1  | 1.0  | 3.625745633114   |   5E-12| 1.395   |.004   |--- |   | 31.02  |.11  |-0.02   |.02   | 0.003   |.003   |  2.7165576619  |      7E-10|50456.5    |.3    | 1.7628746 |.0000009 |121.    |34.    |1.6E-6    |10E-6|1.4E-6   |   11E-6|-8.4E-7   |    | 91E-7|50455.6117845  |  13E-7| 25.1  -9.6|---          |16.5  |  .6  |0.29   |       |-0.0084   |        | 0.025  |     | 1.09  |     | | 5.3 | | 2.0|0.11
J1918-0642|52095-56769| 278| 3.0 |55000|19 18 48.033114 |.000007 |-06 42 34.8896  |.0004  | -7.16 | .04 | -5.95 |  .11 | 7.6458728874589  |1400E-15| 2.5686  |.0017  |--- |   | 26.610 |.011 | 0.003  |.003  | 0.0003  |.0005  | 10.9131777490  |    400E-12|51575.775  |.007  | 8.3504665 |.0000010 |219.60  |  .20  |2.039E-5  |8E-5 |---      |        |---       |    |      |---            |       | 30.0  -9.1|---          | 9.31 |  .07 |0.2    |       |-0.016    |        | 0.039  |     | 2.35  |     | | 5.2 | | 4.3|0.22
J1939+2134|47958-56778|3174|34.5 |55000|19 39 38.561224 |.000002 |+21 34 59.12570 |.00004 |  0.070| .004| -0.401|  .005| 1.55780656108493 |  50E-15|10.51065 |.00003 |0.22|.08| 71.0237|.0013| 0.0000 |.0004 | 0.00003 |.00004 |---             |           |---        |      |---        |         |---     |       |---       |     |---      |        |---       |    |      |               |       | 57.5  -0.3|3266+1020-658| 0.407|  .005|0.00020| .00006|-0.0000069|.0000026|-0.04   |.02  |10.55  | .02 | | 0.2 | | 4.1|---
J1955+2908|53813-56781| 157| 6.5 |55000|19 55 27.87574  |.00003  |+29 08 43.4599  |.0006  | -0.77 | .19 | -4.7  |  .3  | 6.133166606620   |5000E-15| 2.979   |.005   |--- |   |104.54  |.06  |-0.00   |.01   |-0.002   |.002   |117.34909924    |  80000E-12|46112.470  |.004  |31.412661  |.000011  | 29.452 |  .010 |3.3021E-4 |7E-4 |---      |        |          |    |      |               |       | 65.8   0.4|---          | 4.8  |  .3  |0.16   |       |-0.00003  |        |-0.27   |     | 3.09  |     | | 3.1 | | 4.4|0.17
J2010-1323|54089-56785| 390| 1.9 |55000|20 10 45.920637 |.000011 |-13 23 56.0668  |.0007  |  2.53 | .09 | -5.7  |  .4  | 5.2232710972195  | 300E-15| 0.4832  |.0006  |--- |   | 22.174 |.011 | 0.0009 |.0006 |-0.0004  |.0003  |---             |           |---        |      |---        |         |---     |       |---       |     |---      |        |          |    |      |               |       | 29.4 -23.5|---          | 6.2  |  .4  |0.051  |       |-0.056    |        | 0.02   |     | 0.469 |     | |17.7 | | 1.6|---
